Y       theta   v       w
11      0       0.20    0.17
11      0       0.20    0.06
11      0       0.20    0.06
11      0       0.20    0.06
12      0       0.20    0.07
12      0       0.20    0.06
12      0       0.20    0.06
13      0       0.20    0.07
14      0       0.20    0.08
14      0       0.20    0.07
14      -1      0.20    0.04
14      -2      0.20    0.03
14      -3      0.20    0.02
13      -4      0.20    -0.00
12      -4      0.20    0.01
11      -4      0.20    0.00
10      -4      0.20    0.00
8       -4      0.20    -0.02
7       -3      0.20    0.02
6       -3      0.20    -0.01
5       -4      0.20    -0.04
4       -5      0.20    -0.06
3       -4      0.20    -0.02
1       -4      0.20    0.00
0       -3      0.20    0.00
0       -2      0.20    0.00
0       -2      0.20    0.00
0       -2      0.20    0.00
-1      -2      0.20    0.00
-1      -3      0.20    0.00
-2      -2      0.20    0.00
-2      -2      0.20    0.00
-3      -2      0.20    0.00
-3      -2      0.20    0.00
-4      -2      0.20    -0.05
-4      -3      0.20    -0.07
-5      -3      0.20    -0.07
-5      -2      0.20    -0.02
-6      -2      0.20    -0.06
-6      0       0.20    0.01
-5      0       0.20    0.00
-4      0       0.20    0.00
-2      1       0.20    0.00
-1      0       0.20    0.00
0       0       0.20    0.00
0       0       0.20    0.00
1       0       0.20    0.00
2       0       0.20    0.00
4       1       0.20    0.00
6       1       0.20    0.06
7       1       0.20    0.06
8       0       0.20    0.03
9       0       0.20    0.06
10      0       0.20    0.06
11      -1      0.20    0.03
11      -2      0.20    0.02
11      -3      0.20    0.01
10      -3      0.20    0.01
10      -3      0.20    0.02
9       -3      0.20    0.00
8       -3      0.20    0.00
7       -3      0.20    -0.00
6       -4      0.20    -0.04
5       -4      0.20    -0.03
4       -4      0.20    -0.03
3       -4      0.20    -0.04
1       -3      0.20    0.00
1       -3      0.20    0.00
0       -2      0.20    0.00
0       -2      0.20    0.00
0       -2      0.20    0.00
0       -2      0.20    0.00
0       -3      0.20    0.00
-1      -3      0.20    0.00
-1      -2      0.20    0.00
-1      -1      0.20    0.00
-1      0       0.20    0.00
0       3       0.20    0.00
3       4       0.20    0.11
6       6       0.20    0.16
10      8       0.20    0.21
15      10      0.20    0.27
23      11      0.20    0.33
29      9       0.20    0.26
34      7       0.20    0.25
38      4       0.20    0.21
41      0       0.20    0.16
43      0       0.20    0.23
44      -1      0.20    0.20
44      -2      0.20    0.18
44      -3      0.20    0.17
44      -3      0.20    0.19
43      -4      0.20    0.14
42      -5      0.20    0.13
41      -6      0.20    0.12
39      -7      0.20    0.08
37      -7      0.20    0.09
35      -6      0.20    0.12
33      -6      0.20    0.09
31      -4      0.20    0.13
30      -4      0.20    0.10
29      -5      0.20    0.06
28      -4      0.20    0.11
26      -5      0.20    0.04
26      -4      0.20    0.11
25      -3      0.20    0.10
25      -2      0.20    0.12
24      -1      0.20    0.12
25      -1      0.20    0.12
25      -1      0.20    0.12
26      -1      0.20    0.13
26      -1      0.20    0.12
26      -1      0.20    0.12
27      0       0.20    0.17
27      -1      0.20    0.10
28      0       0.20    0.17
28      -1      0.20    0.11
29      0       0.20    0.17
29      -1      0.20    0.11
30      -1      0.20    0.15
30      -1      0.20    0.14
30      -1      0.20    0.14
31      -1      0.20    0.15
31      -2      0.20    0.12
30      -4      0.20    0.06
30      -5      0.20    0.08
28      -6      0.20    0.04
26      -7      0.20    0.02
23      -10     0.20    -0.07
20      -11     0.20    -0.06
15      -11     0.20    -0.09
10      -10     0.20    -0.08
6       -9      0.20    -0.08
3       -8      0.20    -0.07
0       -6      0.20    -0.05
-2      -5      0.20    -0.06
-4      -4      0.20    -0.06
-5      -2      0.20    -0.01
-5      -2      0.20    -0.04
-6      -1      0.20    -0.03
-6      -1      0.20    -0.04
-6      0       0.20    -0.01
-5      0       0.20    0.00
-5      0       0.20    0.00
-3      1       0.20    0.00
