Y       theta   v       w
3       -5      0.21    -0.03
1       -5      0.21    -0.04
0       -5      0.21    0.00
-2      -4      0.21    -0.05
-4      -4      0.21    -0.06
-5      -3      0.21    -0.04
-6      -3      0.21    -0.06
-7      -2      0.21    -0.05
-7      -2      0.21    -0.05
-7      0       0.21    -0.02
-7      0       0.21    -0.04
-6      0       0.21    -0.02
-5      1       0.21    0.00
